EqCircDiamCh1,AreaCh1,1.0
EqSphereVolCh1,EqSphereAreaCh1,1.0
EqSphereAreaCh1,EqCircDiamCh1,1.0
EqSphereAreaCh1,AreaCh1,1.0
EqSphereVolCh1,EqCircDiamCh1,1.0
EqSphereVolCh1,AreaCh1,1.0
IntenCoocMaxCh3,IntenCoocASMCh3,0.99
IntenCoocMaxCh4,IntenCoocASMCh4,0.99
DiffIntenDensityCh4,AvgIntenCh4,0.98
VarIntenCh1,DiffIntenDensityCh1,0.97
ShapeLWRCh1,EqEllipseLWRCh1,0.97
DiffIntenDensityCh3,AvgIntenCh3,0.97
PerimCh1,FiberLengthCh1,0.96
VarIntenCh4,AvgIntenCh4,0.96
DiffIntenDensityCh1,AvgIntenCh1,0.96
VarIntenCh1,AvgIntenCh1,0.96
VarIntenCh4,DiffIntenDensityCh4,0.96
EqEllipseOblateVolCh1,EqCircDiamCh1,0.95
EqEllipseOblateVolCh1,AreaCh1,0.95
EqSphereVolCh1,EqEllipseOblateVolCh1,0.95
EqSphereAreaCh1,EqEllipseOblateVolCh1,0.95
ShapeP2ACh1,ConvexHullAreaRatioCh1,0.94
EqSphereVolCh1,EqEllipseProlateVolCh1,0.94
EqEllipseProlateVolCh1,EqCircDiamCh1,0.94
SkewIntenCh3,KurtIntenCh3,0.94
EqEllipseProlateVolCh1,AreaCh1,0.94
PerimCh1,LengthCh1,0.94
EqSphereAreaCh1,EqEllipseProlateVolCh1,0.94
VarIntenCh3,DiffIntenDensityCh3,0.93
EntropyIntenCh1,AvgIntenCh1,0.93
LengthCh1,EqEllipseOblateVolCh1,0.92
TotalIntenCh1,EntropyIntenCh1,0.92
TotalIntenCh4,AvgIntenCh4,0.92
VarIntenCh3,AvgIntenCh3,0.92
VarIntenCh1,EntropyIntenCh1,0.91
VarIntenCh4,TotalIntenCh4,0.91
ShapeP2ACh1,FiberLengthCh1,0.91
PerimCh1,EqEllipseOblateVolCh1,0.91
LengthCh1,FiberLengthCh1,0.91
TotalIntenCh4,DiffIntenDensityCh4,0.9
TotalIntenCh2,AvgIntenCh2,0.9
IntenCoocEntropyCh3,EntropyIntenCh3,0.9
WidthCh1,EqEllipseProlateVolCh1,0.9
EntropyIntenCh1,DiffIntenDensityCh1,0.89
IntenCoocEntropyCh3,IntenCoocContrastCh3,0.89
IntenCoocEntropyCh4,EntropyIntenCh4,0.88
TotalIntenCh3,AvgIntenCh3,0.88
TotalIntenCh1,AvgIntenCh1,0.87
VarIntenCh1,TotalIntenCh1,0.87
TotalIntenCh4,EntropyIntenCh4,0.85
TotalIntenCh3,DiffIntenDensityCh3,0.85
FiberLengthCh1,ConvexHullAreaRatioCh1,0.84
VarIntenCh3,TotalIntenCh3,0.84
NeighborVarDistCh1,NeighborAvgDistCh1,0.84
EntropyIntenCh4,AvgIntenCh4,0.84
PerimCh1,EqSphereVolCh1,0.83
PerimCh1,AreaCh1,0.83
TotalIntenCh1,DiffIntenDensityCh1,0.83
SkewIntenCh4,KurtIntenCh4,0.83
PerimCh1,EqSphereAreaCh1,0.83
PerimCh1,EqCircDiamCh1,0.83
EntropyIntenCh4,DiffIntenDensityCh4,0.81
IntenCoocEntropyCh4,IntenCoocContrastCh4,0.81
FiberLengthCh1,EqEllipseOblateVolCh1,0.8
EqEllipseProlateVolCh1,EqEllipseOblateVolCh1,0.79
ShapeP2ACh1,PerimCh1,0.79
SkewIntenCh1,KurtIntenCh1,0.78
LengthCh1,EqSphereAreaCh1,0.78
LengthCh1,EqCircDiamCh1,0.78
LengthCh1,AreaCh1,0.78
LengthCh1,EqSphereVolCh1,0.78
WidthCh1,AreaCh1,0.77
WidthCh1,EqCircDiamCh1,0.77
WidthCh1,EqSphereAreaCh1,0.77
WidthCh1,EqSphereVolCh1,0.77
ShapeP2ACh1,LengthCh1,0.76
PerimCh1,ConvexHullAreaRatioCh1,0.73
SkewIntenCh4,IntenCoocASMCh4,0.72
VarIntenCh4,EntropyIntenCh4,0.71
SkewIntenCh4,IntenCoocMaxCh4,0.71
ShapeBFRCh1,ConvexHullPerimRatioCh1,0.7
EntropyIntenCh3,AvgIntenCh3,0.7
TotalIntenCh3,EntropyIntenCh3,0.69
TotalIntenCh4,TotalIntenCh2,0.68
ShapeP2ACh1,EqEllipseLWRCh1,0.68
SpotFiberCountCh4,PerimCh1,0.68
SpotFiberCountCh4,EqEllipseOblateVolCh1,0.68
FiberLengthCh1,EqSphereAreaCh1,0.67
IntenCoocContrastCh3,EntropyIntenCh3,0.67
FiberLengthCh1,EqSphereVolCh1,0.67
FiberLengthCh1,EqCircDiamCh1,0.67
FiberLengthCh1,AreaCh1,0.67
SpotFiberCountCh4,EqSphereAreaCh1,0.66
PerimCh1,EqEllipseProlateVolCh1,0.66
SpotFiberCountCh4,AreaCh1,0.66
SpotFiberCountCh4,EqSphereVolCh1,0.66
SpotFiberCountCh4,EqCircDiamCh1,0.66
SpotFiberCountCh4,LengthCh1,0.65
EntropyIntenCh3,DiffIntenDensityCh3,0.65
TotalIntenCh2,FiberWidthCh1,0.65
LengthCh1,ConvexHullAreaRatioCh1,0.65
SpotFiberCountCh4,FiberLengthCh1,0.64
TotalIntenCh2,TotalIntenCh1,0.63
LengthCh1,EqEllipseLWRCh1,0.63
ShapeLWRCh1,LengthCh1,0.62
SkewIntenCh3,IntenCoocASMCh3,0.62
SkewIntenCh3,IntenCoocMaxCh3,0.62
VarIntenCh4,AvgIntenCh2,0.62
AvgIntenCh4,AvgIntenCh2,0.62
DiffIntenDensityCh4,AvgIntenCh2,0.61
ShapeBFRCh1,FiberWidthCh1,0.61
VarIntenCh4,TotalIntenCh2,0.61
IntenCoocEntropyCh4,AvgIntenCh4,0.6
ShapeP2ACh1,ShapeLWRCh1,0.6
VarIntenCh3,VarIntenCh1,0.59
TotalIntenCh2,DiffIntenDensityCh4,0.59
VarIntenCh3,DiffIntenDensityCh1,0.59
TotalIntenCh2,AvgIntenCh4,0.59
IntenCoocEntropyCh4,DiffIntenDensityCh4,0.59
WidthCh1,EqEllipseOblateVolCh1,0.59
SpotFiberCountCh4,EqEllipseProlateVolCh1,0.59
TotalIntenCh4,IntenCoocEntropyCh4,0.58
FiberWidthCh1,AvgIntenCh2,0.58
WidthCh1,PerimCh1,0.57
AvgIntenCh2,AvgIntenCh1,0.57
FiberLengthCh1,EqEllipseLWRCh1,0.56
FiberWidthCh1,ConvexHullPerimRatioCh1,0.55
TotalIntenCh1,FiberWidthCh1,0.55
TotalIntenCh4,AvgIntenCh2,0.55
TotalIntenCh2,EntropyIntenCh1,0.55
LengthCh1,EqEllipseProlateVolCh1,0.54
EqEllipseLWRCh1,ConvexHullAreaRatioCh1,0.54
TotalIntenCh4,TotalIntenCh1,0.54
TotalIntenCh2,EntropyIntenCh4,0.53
TotalIntenCh1,AvgIntenCh2,0.52
ShapeP2ACh1,EqEllipseOblateVolCh1,0.52
ConvexHullPerimRatioCh1,AvgIntenCh1,0.52
TotalIntenCh4,EqEllipseProlateVolCh1,0.51
WidthCh1,SpotFiberCountCh4,0.51
VarIntenCh3,AvgIntenCh1,0.51
EntropyIntenCh1,AvgIntenCh2,0.5
VarIntenCh1,AvgIntenCh2,0.5
SpotFiberCountCh3,EqEllipseOblateVolCh1,0.5
DiffIntenDensityCh3,DiffIntenDensityCh1,0.5
DiffIntenDensityCh1,AvgIntenCh2,0.5
ShapeLWRCh1,FiberLengthCh1,0.5
TotalIntenCh2,EqEllipseProlateVolCh1,0.5
IntenCoocContrastCh4,EntropyIntenCh4,0.5
TotalIntenCh2,AvgIntenCh1,0.5
FiberWidthCh1,EqEllipseProlateVolCh1,0.5
DiffIntenDensityCh1,AvgIntenCh3,0.49
TotalIntenCh3,TotalIntenCh1,0.49
KurtIntenCh4,IntenCoocASMCh4,0.49
TotalIntenCh4,TotalIntenCh3,0.49
VarIntenCh3,EntropyIntenCh1,0.49
VarIntenCh1,AvgIntenCh3,0.48
KurtIntenCh3,IntenCoocASMCh3,0.48
KurtIntenCh3,IntenCoocMaxCh3,0.48
SpotFiberCountCh3,LengthCh1,0.48
EntropyIntenCh4,AvgIntenCh2,0.48
SkewIntenCh1,ShapeP2ACh1,0.48
KurtIntenCh4,IntenCoocMaxCh4,0.48
VarIntenCh1,DiffIntenDensityCh3,0.48
SpotFiberCountCh3,EqSphereVolCh1,0.47
TotalIntenCh1,EqEllipseProlateVolCh1,0.47
SpotFiberCountCh3,EqSphereAreaCh1,0.47
TotalIntenCh4,FiberWidthCh1,0.47
SpotFiberCountCh3,EqCircDiamCh1,0.47
FiberLengthCh1,EqEllipseProlateVolCh1,0.47
TotalIntenCh2,IntenCoocMaxCh3,0.47
SpotFiberCountCh3,AreaCh1,0.47
ConvexHullPerimRatioCh1,AvgIntenCh2,0.46
SkewIntenCh1,ConvexHullAreaRatioCh1,0.46
SpotFiberCountCh3,PerimCh1,0.46
VarIntenCh1,TotalIntenCh2,0.46
TotalIntenCh4,EntropyIntenCh1,0.46
VarIntenCh3,EntropyIntenCh3,0.45
SkewIntenCh1,FiberLengthCh1,0.45
SpotFiberCountCh4,ShapeP2ACh1,0.45
AvgIntenCh4,AvgIntenCh1,0.45
IntenCoocMaxCh3,AvgIntenCh2,0.44
PerimCh1,EqEllipseLWRCh1,0.44
DiffIntenDensityCh4,AvgIntenCh1,0.44
TotalIntenCh2,IntenCoocASMCh3,0.44
VarIntenCh4,TotalIntenCh1,0.44
IntenCoocMaxCh3,FiberWidthCh1,0.44
TotalIntenCh3,EntropyIntenCh1,0.44
WidthCh1,TotalIntenCh4,0.44
FiberWidthCh1,EntropyIntenCh1,0.44
ShapeBFRCh1,AvgIntenCh2,0.44
FiberWidthCh1,AvgIntenCh1,0.44
VarIntenCh4,EntropyIntenCh1,0.44
VarIntenCh4,AvgIntenCh1,0.44
VarIntenCh3,TotalIntenCh1,0.44
TotalIntenCh1,AvgIntenCh4,0.43
